cue,cui,nombre,sector,domicilio,ambito,lat,lon
061722600,608100684,ESCUELA DE EDUCACIÓN SECUNDARIA Nº15 MARÍA EVA DUARTE,Estatal,ESPAÑA E/ SIRIA Y SARMIENTO 649 P.,Urbano,-33.887658781277146,-60.56990496222309
061980000,608100054,ESCUELA DE EDUCACIÓN SECUNDARIA Nº18,Estatal,COLOMBIA 760,Urbano,-33.90083370861426,-60.55812375753535
060825000,608100645,ESCUELA DE EDUCACIÓN SECUNDARIA Nº2 MARTÍN MIGUEL DE GÜEMES,Estatal,SCALABRINI ORTIZ 658,Urbano,-33.90173478020881,-60.54835453942362
060790000,608101271,ESCUELA DE EDUCACIÓN SECUNDARIA Nº4 MARIANO MORENO,Estatal,MERCED 618,Urbano,-33.894795274135234,-60.574135221806706
061175500,608100168,ESCUELA DE EDUCACIÓN SECUNDARIA Nº5 ALMIRANTE GUILLERMO BROWN,Estatal,ESTRADA 1225,Urbano,-33.89808017835969,-60.5807519614801
061174500,608100168,ESCUELA DE EDUCACIÓN SECUNDARIA Nº6 ESTEBAN ECHEVERRIA,Estatal,ESTRADA 6,Urbano,-33.89808017835969,-60.5807519614801
061176800,608101292,ESCUELA DE EDUCACIÓN SECUNDARIA Nº7 DR. J.V. GONZALEZ,Estatal,AVENIDA COLON 725,Urbano,-33.89291674886936,-60.58188018915716
061081000,608100728,ESCUELA DE EDUCACIÓN SECUNDARIA TÉCNICA Nº2,Estatal,FLORIDA 545,Urbano,-33.89751426104671,-60.57365718006477
061514300,608100201,ESCUELA DE EDUCACIÓN TEMPRANA Nº 1 MARÍA ELENA WALSH ,Estatal,LINIERS E/ ITALIA Y MONTEAGUDO 950,Urbano,-33.91114235533222,-60.58503057589333
061616000,608101167,ESCUELA ESPECIAL LOS BUENOS HIJOS,Privado,MARCELINO UGARTE 427,Urbano,-33.893394442874325,-60.56003715901969
060803600,608101179,ESCUELA HOGAR DE JESUS,Privado,HIPOLITO IRIGOYEN E/ ROCHA Y LORENZO MORENO 29,Urbano,-33.89577187600064,-60.56538339121869
061585000,608101179,ESCUELA HOGAR DE JESUS,Privado,ROCHA 480,Urbano,-33.89577187600064,-60.56538339121869
060147300,608101133,INSTITUTO DE CAPACITACION Y DESARROLLO,Privado,ITALIA 151,Urbano,-33.88962995036706,-60.57486006665106
061465400,608101133,INSTITUTO DE CAPACITACION Y DESARROLLO,Privado,ITALIA 151,Urbano,-33.88962995036706,-60.57486006665106
060825100,608100240,INSTITUTO DE FORMACIÓN DOCENTE Y TÉCNICA Nº5 REGIÓN DE LA NORPAMPA,Estatal,SCALABRINI ORTIZ (E/MOSCONI Y LEBENSOHN) 472,Urbano,-33.9002969464713,-60.54831904744283
060804700,608101292,INSTITUTO SUPERIOR DE FORMACION DOC. Y TECN. Nº122 PTE. A. ILLIA,Estatal,AVDA. COLON 725,Urbano,-33.89291674886936,-60.58188018915716
061630700,608101069,JARDÍN DE INFANTES MADRE DE LA DIVINA PROVIDENCIA,Privado,MARCELINO CHAMPAGNAT 250,Urbano,-33.87433666874277,-60.55927784922294
060446800,608101105,JARDÍN DE INFANTES NUETRA SEÑORA DEL HUERTO,Privado,SAN NICOLAS 1029,Urbano,-33.8982394768787,-60.57532151810342
060532100,608101341,JARDÍN DE INFANTES N°921 BOMBERO FERNANDO TOMÁS ESQUIVEL,Estatal,M. SCALABRINI E/ GRANADOS Y MAGNANI 1079,Urbano,-33.88312644921522,-60.559495943197874
061335600,608100467,JARDÍN DE INFANTES Nº 923 DOCTOR TOMÁS RAMELLA,Estatal,MATHEU 1201  BARRIO SAN JOSÉ,Urbano,-33.87743819571243,-60.572327745112425
061080700,608100264,JARDÍN DE INFANTES Nº901 MARIA MONTESSORI,Estatal,FLORIDA (E/ SAN NICOLAS Y 25 DE MAYO) 519,Urbano,-33.89768184742474,-60.573322131814265
060532000,608100272,JARDÍN DE INFANTES Nº902 MARIANO MORENO,Estatal,SIRIA Y RAMON RAIMUNDO 588,Urbano,-33.884687547946506,-60.569265705866364
060804000,608100335,JARDÍN DE INFANTES Nº908 FEDERICO FROEBEL,Estatal,VENEZUELA 141,Urbano,-33.89689180553295,-60.555797968251994
061175400,608100388,JARDÍN DE INFANTES Nº913 ROSANA CURA,Estatal,SAN NICOLAS E/MONROE Y LAVALLE 1864,Urbano,-33.906314976186415,-60.578709361931956
061175300,608100405,JARDÍN DE INFANTES Nº915 VIRGEN DE LUJAN,Estatal,AVENIDA JAUREGUI Y SANTA ROSA,Urbano,-33.8861260652028,-60.591850706708556
060804200,608100422,JARDÍN DE INFANTES Nº917,Estatal,SCHUMACHER (E/GONZALEZ Y E. DEL CAMPO) 1418,Urbano,-33.90945197700943,-60.5546555969482
060147800,608100433,JARDÍN DE INFANTES Nº918 SANTA TERESITA DEL NIÑO JESUS,Estatal,120 Y 101   BARRIO OTERO,Urbano,-33.86477550686352,-60.57011516930439
060222600,608101285,JARDÍN DE INFANTES Nº922 DR. J. V. GONZALEZ,Estatal,SAN MARTÍN 1387,Urbano,-33.89317926764489,-60.582225537968114
062048000,608100480,JARDÍN DE INFANTES Nº925 DR. PEDRO AGUILAR ORTIZ,Estatal,ASCASUBI 86,Urbano,-33.8889259384853,-60.538200707696404
062233100,608100175,JARDÍN DE INFANTES Nº926,Estatal,RICARDO GÜIRALDES 2059  BARRIO KENNEDY,Urbano,-33.91456197282305,-60.56262098449877
062234300,608100498,JARDÍN DE INFANTES Nº927,Estatal,ALMAFUERTE E/ BARBAZAN Y CIRC.MUNICIP. 1370  BARRIO TRINCAVELLI,Urbano,-33.87427844085075,-60.57957843183556
062151600,608100524,JARDÍN DE INFANTES RURAL Nº1,Estatal,CAMINO RURAL DEL CARMEN    MAGUIRE - ESC. PRIMARIA Nº49,Urbano,-33.96419445735756,-60.26257407514939
060719000,608101151,JARDÍN DE INFANTES SAN ANTONIO DE PADUA,Privado,LAGOS E/ ALEN Y LUZURIAGA 441,Urbano,-33.89110183202265,-60.56956293329798
061699400,608100970,JARDÍN DE INFANTES SAN GABRIEL,Privado,AV. DE MAYO 1624,Urbano,-33.88968544547729,-60.5834061762055
060210100,608101053,JARDÍN DE INFANTES SAN JOSE,Privado,JUAN MANUEL DE ROSAS 2597,Urbano,-33.86684035696546,-60.56731796575618
061702100,608101007,JARDÍN DE INFANTES SAN PABLO,Privado,GUALBERTO ÁLVAREZ 401,Urbano,-33.920571503823055,-60.58379095591318
060719100,608101095,JARDÍN DE INFANTES SAN VICENTE DE PAUL,Privado,FRANCIA 952,Urbano,-33.89443092851485,-60.58261448334053
062484300,608101432,JARDÍN DE INFANTES T.E.A.M.S.,Privado,RUTA 188 KILÓMETRO 77,Urbano,-33.931312978561145,-60.59214354538207
062344600,608100904,JARDÍN MATERNAL ASÍ CRECEMOS,Privado,JOSÉ MANUEL ESTRADA 128,Urbano,-33.88928239915545,-60.57538435510312
062304200,608100511,JARDÍN MATERNAL Nº1 SEMILLITAS,Estatal,"RUTA 32 KM 4,5",Urbano,-33.93999711850628,-60.5645607925225
062296700,608101146,LA CASITA DE MELINA,Privado,PINTO 455,Urbano,-33.892193452951695,-60.57015563572256
062099800,608101069,MONSEÑOR SCALABRINI,Privado,CHAMPAGNAT 251,Urbano,-33.87433666874277,-60.55927784922294
062109800,608100989,SANTA JULIA,Privado,JUAN BELCUORE 2964,Urbano,-33.91246819238884,-60.596461412699945
062344500,608101200,VIRGEN DEL ROSARIO,Privado,BARTOLOMÉ MITRE 202,Urbano,-33.896080445305664,-60.569241517522855
